id,title,startdate,enddate,price,pdu,status,type,formLink,images,vdoUrl,pdfUrl,desc
14,Protective Relaying 2,19-Oct-20,21-Oct-20,7000,,closed,on-site,https://forms.gle/bzsPQv5R6SwKrSti9,"https://drive.google.com/file/d/13nYIvNZCUrbInF46JB3DbcS9sV1Od9Bu/view?usp=sharing, https://drive.google.com/file/d/1J3Z_5H5X6KQ8iLCvDH2Xm-Gfc-fefQ_x/view?usp=sharing",,,
15,Introduction to IEC61850 Communication Protocol for Substation Automation,27-Oct-20,,Free,,closed,on-line,,https://drive.google.com/file/d/1e12peHEm7A9rOOPkarQ4JlneS9kI0NEj/view?usp=sharing,https://youtu.be/z-1pHt8X9qM,,
16,Maintenance for High Voltage Substation Equipments in Power System with Safety,28-Oct-20,30-Oct-20,7000,,closed,on-site,https://forms.gle/UT3MJEXtwewDnXsQ8,"https://drive.google.com/file/d/1wyVJOD4vgAGUE0R4uRuWA_uUzkDUnF5_/view?usp=sharing,https://drive.google.com/file/d/1b81C0s89dY0X5S9aToSs8VERlJSBj6tZ/view?usp=sharing",,,
17,Energy Storage for Power Systems: Fundamental Theory and Case Studies,29-Oct-20,30-Oct-20,5900,,closed,on-site,https://forms.gle/qQyS8GReSrh4kArK8,"https://drive.google.com/file/d/1AvQK-j-qvuWeMfd9uKQ8vjuhsasLfQEp/view?usp=sharing, https://drive.google.com/file/d/1Asw8L_DGSYG36veudx85jf0twJxMQFJS/view?usp=sharing",,,
18,Lightning Discharge and Protections,12-Nov-20,13-Nov-20,5000,,closed,on-site,https://forms.gle/k1KjoBFb3UdwMVfA6,"https://drive.google.com/file/d/1IIEWIugO86T-hoLoI9s3IHuPHL-LOie7/view?usp=sharing, https://drive.google.com/file/d/1k475Nnf6sj25GJMLmGsX9do2ULEqlKjN/view?usp=sharing",,,
19,Introduction to Grounding for Electrical and Communication System,24-Nov-20,,Free,,closed,on-line,,https://drive.google.com/file/d/1dyw-DB4HSawNpE6M-yzW7R9sXUe41dcD/view?usp=sharing,https://youtu.be/KSYoKPL0E1E,,
20,Gas Insulated Substation (GIS) Episode 2,25-Nov-20,27-Nov-20,7500,,closed,on-site,https://forms.gle/hByhoz3oCZt2Fuis9,"https://drive.google.com/file/d/15yT0nTf7GTVomh9yRzHchrkiiEohREJf/view?usp=sharing, https://drive.google.com/file/d/1KQR3a8BLQk7iJm_ufqS3AGAcgmNyfZmC/view?usp=sharing",,,
21,Introduction to Fault in Power System,8-Dec-20,,Free,,closed,on-line,,https://drive.google.com/file/d/1dwSV_Br7cKTwoMt-gq35tXlWRThIWRZb/view?usp=sharing,https://youtu.be/jF5EJwRXryE,,
22,Fault Event Analysis in Power ,16-Dec-20,18-Dec-20,7000,,closed,on-site,https://forms.gle/SmGKnKFprjhmbtucA,"https://drive.google.com/file/d/1vEgTScEzikVJbI6AtwkENKw9DJs6sGUB/view?usp=sharing,https://drive.google.com/file/d/1iGxMb9rCnbeNbLUAn29RSgCEnEVO4AJu/view?usp=sharing",,,
23,Introduction to Smart Building,19-Jan-21,,Free,,closed,on-line,,https://drive.google.com/file/d/1dri3f689JUNfkfvQoVyewvGvLpfe6m2q/view?usp=sharing,https://youtu.be/dhUQ_HXryjs,https://drive.google.com/file/d/18yZB0yr-jgwBVWqjZQqHqnp_JRA02qOn/view?usp=sharing,
24,IoT for Smart Energy 4.0,8-Feb-21,9-Feb-21,3900,,closed,on-line,https://forms.gle/GgjUf4gaXcc2Qjjp8,"https://drive.google.com/file/d/16COCVvSfmwF2yTbhcPK3bxySiWUZ2Q-W/view?usp=sharing, https://drive.google.com/file/d/16DYkgr8JgWLw0AuV68gU7Daz2NxalXe-/view?usp=sharing",,,
